lojbo	lojbo gi'e nu'o bredi	glico
ni'o la jitfa cakyrespa cu condi vruva'u gi'e mosra lo trixe be pa lo limna'i lo kanla gi'e catlu la .alis. gi'e troci lo nu tavla .i ku'i ze'a lo mentu be li ji'i re lo nu vruva'u cu dicra lo voksa .i «lu mintu lo nu lo bongu cu zunti lo galxe –sei la cpicinfo cu cusku– li'u» .i cy co'a gunka lo nu desygau gi'e darxi fo lo trixe .i ba za bo la jitfa cakyrespa cu xruti lo ka se voksa kei gi'e di'a selklaku flira cusku -	ni'o la jitfa cakyrespa cu condi vruva'u gi'e mosra lo trixe be pa lo limna'i lo kanla gi'e catlu la .alis. gi'e troci lo nu tavla .i ku'i ze'a lo mentu be li ji'i re lo nu vruva'u cu dicra lo voksa .i lu mintu lo nu lo bongu cu zunti lo galxe –sei la cpicinfo cu cusku– li'u .i cy co'a gunka lo nu desygau gi'e darxi fo lo trixe .i ba za bo la jitfa cakyrespa cu xruti lo ka se voksa kei gi'e di'a selklaku flira cusku -	The Mock Turtle sighed deeply, and drew the back of one flapper across his eyes. He looked at Alice, and tried to speak, but for a minute or two sobs choked his voice. 'Same as if he had a bone in his throat,' said the Gryphon: and it set to work shaking him and punching him in the back. At last the Mock Turtle recovered his voice, and, with tears running down his cheeks, he went on again:—
ni'o «lu ju'o cu'i do na ze'u xabju lo xamsi cnita (to sa'a «lu mi na go'i –sei la .alis. cu cusku– li'u» toi) .i ju'o cu'i do no roi penmi lo xasyjukni (to sa'a la .alis. co'a cusku «lu mi pa roi vu'irga'e li'u» gi'e ku'i sutra sezydicra gi'e cusku «lu no roi go'i li'u» toi) .i se ki'u bo do na ka'e se xanri lo nu lo xasyjukni vonseldansu cu mo kau kukte li'u»	ni'o lu ju'o cu'i do na ze'u xabju lo xamsi cnita (to sa'a lu mi na go'i li'u se cusku la .alis. toi) .i ju'o cu'i do no roi penmi lo xasyjukni (to sa'a la .alis. co'a cusku lu mi pa roi vu'irga'e li'u gi'e ku'i sutra sezydicra gi'e cusku lu no roi go'i li'u toi) .i se ki'u bo do na ka'e se xanri lo nu lo xasyjukni vonseldansu cu mo kau kukte li'u	You may not have lived much under the sea—' ('I haven't,' said Alice)—'and perhaps you were never even introduced to a lobster—' (Alice began to say 'I once tasted—' but checked herself hastily, and said 'No, never') '—so you can have no idea what a delightful thing a Lobster Quadrille is!'
ni'o «lu ie na go'i –sei la .alis. cu cusku– .i ri mo seldansu li'u»	ni'o lu .ie na go'i li'u se cusku la .alis. fa lu .i ri mo seldansu li'u	No, indeed,' said Alice. 'What sort of a dance is it?'
ni'o «lu ta'a do'u –sei la cpicinfo cu cusku– .i pa mai lo dansu pa da se linji pa'a lo xamsi korbi - li'u»	ni'o lu ta'a do'u –sei la cpicinfo cu cusku– .i pa mai lo dansu pa da se linji pa'a lo xamsi korbi - li'u	Why,' said the Gryphon, 'you first form into a line along the sea-shore—'
ni'o «lu ba'e re da –sei la jitfa cakyrespa cu krixa– .i lo pinpedi ce'o lo cakyrespa ce'o lo salmone ce'o zo'e si'a li'o .i ba bo ba lo nu mo'u vimcu ro mivjdu lo jvinu - li'u»	ni'o lu ba'e re da –sei la jitfa cakyrespa cu krixa– .i lo pinpedi ce'o lo cakyrespa ce'o lo salmone ce'o zo'e si'a li'o .i ba bo ba lo nu mo'u vimcu ro mivjdu lo jvinu - li'u	Two lines!' cried the Mock Turtle. 'Seals, turtles, salmon, and so on; then, when you've cleared all the jelly-fish out of the way—'
ni'o «lu la'e di'u ta'e ze'u co'e –sei la cpicinfo cu zunti– li'u»	ni'o lu la'e di'u ta'e ze'u co'e –sei la cpicinfo cu zunti– li'u	THAT generally takes some time,' interrupted the Gryphon.
ni'o «lu .e'e re roi crakla li'u»	ni'o lu .e'e re roi crakla li'u	—you advance twice—'
ni'o «lu ro da kansa lo xasyjukni –sei la cpicinfo cu krixa– li'u»	ni'o lu ro da kansa lo xasyjukni –sei la cpicinfo cu krixa– li'u	Each with a lobster as a partner!' cried the Gryphon.
ni'o «lu li'a –sei la jitfa cakyrespa cu cusku– .i .e'e re roi crakla .i .e'e penmi lo kansa li'u»	ni'o lu li'a –sei la jitfa cakyrespa cu cusku– .i .e'e re roi crakla .i .e'e penmi lo kansa li'u	Of course,' the Mock Turtle said: 'advance twice, set to partners—'
ni'o «lu .e'e cajysi'u lo xasyjukni .i .e'e xruti po'i lo mintu –sei la cpicinfo cu di'a co'e– li'u»	ni'o lu .e'e cajysi'u lo xasyjukni .i .e'e xruti po'i lo mintu –sei la cpicinfo cu di'a co'e– li'u	—change lobsters, and retire in same order,' continued the Gryphon.
ni'o «lu baku ju'i do'u –sei la jitfa cakyrespa di'a cusku– .i .e'e renro li'u»	ni'o lu baku ju'i do'u –sei la jitfa cakyrespa di'a cusku– .i .e'e renro li'u	Then, you know,' the Mock Turtle went on, 'you throw the—'
ni'o «lu fe lo xasyjukni –sei la cpicinfo noi plipe lo vacri cu krixa– li'u»	ni'o lu fe lo xasyjukni –sei la cpicinfo noi plipe lo vacri cu krixa– li'u	The lobsters!' shouted the Gryphon, with a bound into the air.
ni'o «lu fi lo xamsi se rai lo selka'e ka darno li'u»	ni'o lu fi lo xamsi se rai lo selka'e ka darno li'u	—as far out to sea as you can—'
ni'o «lu .e'e limna jersi lo xasyjukni –sei la cpicinfo cu krixa– li'u»	ni'o lu .e'e limna jersi lo xasyjukni –sei la cpicinfo cu krixa– li'u	Swim after them!' screamed the Gryphon.
ni'o «lu .e'e pipcarna ne'i lo xamsi –sei la jitfa cakyrespa cu krixa– li'u»	ni'o lu .e'e pipcarna ne'i lo xamsi –sei la jitfa cakyrespa cu krixa– li'u	Turn a somersault in the sea!' cried the Mock Turtle, capering wildly about.
ni'o «lu .e'e za'u re'u cajysi'u lo xasyjukni –sei la cpicinfo cu voksa cladu traji krixa– li'u»	ni'o lu .e'e za'u re'u cajysi'u lo xasyjukni –sei la cpicinfo cu voksa cladu traji krixa– li'u	Change lobsters again!' yelled the Gryphon at the top of its voice.
ni'o «lu .e'e xruti lo tumla .i mo'u pa moi morna –sei la jitfa cakyrespa noi suksa jdikygau lo voksa cu cusku– li'u» .i lo re danlu noi pu ru'u plipe ze'a la'e di'u tai lo nu fenki cu badri je smaji tsebi'o gi'e catlu la .alis.	ni'o lu .e'e xruti lo tumla .i mo'u pa moi morna –sei la jitfa cakyrespa noi suksa jdikygau lo voksa cu cusku– li'u .i lo re danlu noi pu ru'u plipe ze'a la'e di'u tai lo nu fenki cu badri je smaji tsebi'o gi'e catlu la .alis.	Back to land again, and that's all the first figure,' said the Mock Turtle, suddenly dropping his voice; and the two creatures, who had been jumping about like mad things all this time, sat down again very sadly and quietly, and looked at Alice.
ni'o «lu ju'o da'i melbi seldansu –sei la .alis. cu toldarsi cusku– li'u»	ni'o lu ju'o da'i melbi seldansu –sei la .alis. cu toldarsi cusku– li'u	It must be a very pretty dance,' said Alice timidly.
ni'o «lu .a'u pei do viska lo mupli –sei la jitfa cakyrespa cu cusku– li'u»	ni'o lu .a'u pei do viska lo mupli –sei la jitfa cakyrespa cu cusku– li'u	Would you like to see a little of it?' said the Mock Turtle.
ni'o «lu .a'u sai go'i –sei la .alis. cu cusku– li'u»	ni'o lu .a'u sai go'i li'u se cusku la .alis.	Very much indeed,' said Alice.
ni'o «lu .e'e mi'o troci lo nu pa moi morna –sei la jitfa cakyrespa fi la cpicinfo cu cusku– .i mi'o se'a kakne se cau lo xasyjukni .i ma sanga li'u»	ni'o lu .e'e mi'o troci lo nu pa moi morna –sei la jitfa cakyrespa fi la cpicinfo cu cusku– .i mi'o se'a kakne se cau lo xasyjukni .i ma sanga li'u	Come, let's try the first figure!' said the Mock Turtle to the Gryphon. 'We can do without lobsters, you know. Which shall sing?'
ni'o «lu .i'e ba'e do go'i –sei la cpicinfo cu cusku– .i mi tolmorji lo valsi li'u»	ni'o lu .i'e ba'e do go'i –sei la cpicinfo cu cusku– .i mi tolmorji lo valsi li'u	Oh, YOU sing,' said the Gryphon. 'I've forgotten the words.'
ni'o co'a junri dansu ru'u la .alis. .i ru'i nai stapa lo .abu jmadegji ca lo nu dukse jbikla .i sligau lo xance te zu'e lo nu sinxa lo rilti .i ze'a bo la jitfa cakyrespa cu masno je badri mutce sanga «lu	ni'o co'a junri dansu ru'u la .alis. .i ru'i nai stapa lo .abu jmadegji ca lo nu dukse jbikla .i sligau lo xance te zu'e lo nu sinxa lo rilti .i ze'a bo la jitfa cakyrespa cu masno je badri mutce sanga lu	So they began solemnly dancing round and round Alice, every now and then treading on her toes when they passed too close, and waving their forepaws to mark the time, while the Mock Turtle sang this, very slowly and sadly:—
.e'o sutra doi cakcurnu .i ko ti'a zgana ua pa	e'o sutra doi cakcurnu .i ko ti'a zgana .ua pa	'"Will you walk a little faster?" said a whiting to a snail.
xajyfi'e noi jbitrixe gi'e me mi rebla stapa	xajyfi'e noi jbitrixe gi'e me mi rebla stapa	"There's a porpoise close behind us, and he's treading on my tail.
.i ui .a'a ro lo jukni .e lo respa ca se ganse	.i .ui .a'a ro lo jukni .e lo respa ca se ganse	See how eagerly the lobsters and the turtles all advance!
gi'e denpa mi lo canre .i pei do ba kansa dansu	gi'e denpa mi lo canre .i pei do ba kansa dansu	They are waiting on the shingle—will you come and join the dance?
.i .ai pei nai pei .ai pei nai pei .ai pei do ba dansu	.i .ai pei nai pei .ai pei nai pei .ai pei do ba dansu	Will you, won't you, will you, won't you, will you join the dance?
.i .ai pei nai pei .ai pei nai pei nai pei do ba dansu	.i .ai pei nai pei .ai pei nai pei nai pei do ba dansu	Will you, won't you, will you, won't you, won't you join the dance?
.i do na ka'e se xanri lo nu pluka co mo kau	.i do na ka'e se xanri lo nu pluka co mo kau	"You can really have no notion how delightful it will be
ca lo nu mi'o se renro fi lo xamsi .i'a .au	ca lo nu mi'o se renro fi lo xamsi .i'a .au	When they take us up and throw us, with the lobsters, out to sea!"
.i dardukse .i dardukse –sei cy spuda tolselmansa–	.i dardukse .i dardukse –sei cy spuda tolselmansa–	But the snail replied "Too far, too far!" and gave a look askance—
doi merlanu ki'e ku'i .i mi na ba kansa dansu	doi merlanu ki'e ku'i .i mi na ba kansa dansu	Said he thanked the whiting kindly, but he would not join the dance.
.i .ai nai .ei nai .ai nai .ei nai .ai nai mi ba dansu	.i .ai nai .ei nai .ai nai .ei nai .ai nai mi ba dansu	Would not, could not, would not, could not, would not join the dance.
.i .ai nai .ei nai .ai nai .ei nai .ei nai mi ba dansu	.i .ai nai .ei nai .ai nai .ei nai .ei nai mi ba dansu	Would not, could not, would not, could not, could not join the dance.
.i na selvai lo ni darno –sei lo pendo ze'i frati–	.i na selvai lo ni darno –sei lo pendo ze'i frati–	'"What matters it how far we go?" his scaly friend replied.
.i ia sai lo drata korbi ca'a drata mlana zvati	.i .ia sai lo drata korbi ca'a drata mlana zvati	"There is another shore, you know, upon the other side.
.i lo ni darno lo glico cu ni jibni be la .frans.	.i lo ni darno lo glico cu ni jibni be la frans	The further off from England the nearer is to France—
.i ko virnu doi cakcurnu .i .ei do ba kansa dansu	.i ko virnu doi cakcurnu .i .ei do ba kansa dansu	Then turn not pale, beloved snail, but come and join the dance.
.i .ai pei nai pei .ai pei nai pei .ai pei do ba dansu	.i .ai pei nai pei .ai pei nai pei .ai pei do ba dansu	Will you, won't you, will you, won't you, will you join the dance?
.i .ai pei nai pei .ai pei nai pei nai pei do ba dansu	.i .ai pei nai pei .ai pei nai pei nai pei do ba dansu	Will you, won't you, will you, won't you, won't you join the dance?"'
li'u» ni'o «lu ki'e .i lo nu dansu zo'u: mutce cinri fa lo nu catlu –sei la .alis. noi mutce gleki lo nu uo mulno cu cusku– .i mi ja'a sai nelci lo cinri selsanga be sera'a lo merlanu li'u»	li'u ni'o lu ki'e .i lo nu dansu zo'u: mutce cinri fa lo nu catlu –sei la .alis. noi mutce gleki lo nu .uo mulno cu cusku– .i mi ja'a sai nelci lo cinri selsanga be sera'a lo merlanu li'u	Thank you, it's a very interesting dance to watch,' said Alice, feeling very glad that it was over at last: 'and I do so like that curious song about the whiting!'
ni'o «lu .a'a lo merlanu zo'u: –sei la jitfa cakyrespa cu cusku– do my pu ca'a viska li'a pei li'u»	ni'o lu .a'a lo merlanu zo'u: –sei la jitfa cakyrespa cu cusku– do my pu ca'a viska li'a pei li'u	Oh, as to the whiting,' said the Mock Turtle, 'they—you've seen them, of course?'
ni'o «lu go'i –sei la .alis. cu cusku– .i mi my so'i roi viska lo sairpaln- –sei .abu sutra sezydicra– li'u»	ni'o lu go'i li'u se cusku la .alis. fa lu .i mi my so'i roi viska lo sairpaln- –sei .abu sutra sezydicra– li'u	Yes,' said Alice, 'I've often seen them at dinn—' she checked herself hastily.
ni'o «lu mi na djuno lo du'u ma kau stuzi la .sairpaln. –sei la jitfa cakyrespa cu cusku– .i ku'i do va'o lo nu tai so'i roi viska my cu se slabu li'a lo nu ma kau my jvinu li'u»	ni'o lu mi na djuno lo du'u ma kau stuzi la sairpaln –sei la jitfa cakyrespa cu cusku– .i ku'i do va'o lo nu tai so'i roi viska my cu se slabu li'a lo nu ma kau my jvinu li'u	I don't know where Dinn may be,' said the Mock Turtle, 'but if you've seen them so often, of course you know what they're like.'
ni'o «lu ia –sei la .alis. cu pensi spuda– lo my rebla cu nenri lo my moklu .i my cpana lo nabyspi li'u»	ni'o lu .ia –sei la .alis. cu pensi spuda– lo my rebla cu nenri lo my moklu .i my cpana lo nabyspi li'u	I believe so,' Alice replied thoughtfully. 'They have their tails in their mouths—and they're all over crumbs.'
ni'o «lu do srera tu'a lo nabyspi –sei la jitfa cakyrespa cu cusku– .i lo nabyspi cu se jisybi'o va'o lo nu jinru lo xamsi .i ku'i lo my rebla ja'a nenri lo my moklu .i krinu la'e di'u fa - –sei ca ku la jitfa cakyrespa cu sipfru ke kanla ga'orgau– .i ko ta tavla lo krinu .e ro srana –sei fi la cpicinfo cu cusku– li'u»	ni'o lu do srera tu'a lo nabyspi –sei la jitfa cakyrespa cu cusku– .i lo nabyspi cu se jisybi'o va'o lo nu jinru lo xamsi .i ku'i lo my rebla ja'a nenri lo my moklu .i krinu la'e di'u fa - –sei ca ku la jitfa cakyrespa cu sipfru ke kanla ga'orgau– .i ko ta tavla lo krinu .e ro srana –sei fi la cpicinfo cu cusku– li'u	You're wrong about the crumbs,' said the Mock Turtle: 'crumbs would all wash off in the sea. But they HAVE their tails in their mouths; and the reason is—' here the Mock Turtle yawned and shut his eyes.—'Tell her about the reason and all that,' he said to the Gryphon.
ni'o «lu krinu –sei la cpicinfo cu cusku– fa lo nu my ba'e ja'a kansa lo xasyjukni lo nu dansu .i se ki'u bo my se renro fi lo xamsi .i se ki'u bo my farlu lo darno .i se ki'u bo my carmi setca lo rebla lo moklu .i se ki'u bo my na ka'e tolsetca .i uo li'u»	ni'o lu krinu –sei la cpicinfo cu cusku– fa lo nu my ba'e ja'a kansa lo xasyjukni lo nu dansu .i se ki'u bo my se renro fi lo xamsi .i se ki'u bo my farlu lo darno .i se ki'u bo my carmi setca lo rebla lo moklu .i se ki'u bo my na ka'e tolsetca .i .uo li'u	The reason is,' said the Gryphon, 'that they WOULD go with the lobsters to the dance. So they got thrown out to sea. So they had to fall a long way. So they got their tails fast in their mouths. So they couldn't get them out again. That's all.'
ni'o «lu ki'e –sei la .alis. cu cusku– .i cinri mutce .i mi pu no roi djuno lo tai mutce lo merlanu li'u»	ni'o lu ki'e li'u se cusku la .alis. fa lu .i cinri mutce .i mi pu no roi djuno lo tai mutce lo merlanu li'u	Thank you,' said Alice, 'it's very interesting. I never knew so much about a whiting before.'
ni'o «lu do'a mi do ka'e tavla lo se jmina –sei la cpicinfo cu cusku– .i xu do djuno lo du'u ma kau krinu lo nu zo labyfi'e cmene lo merlanu li'u»	ni'o lu do'a mi do ka'e tavla lo se jmina –sei la cpicinfo cu cusku– .i xu do djuno lo du'u ma kau krinu lo nu zo labyfi'e cmene lo merlanu li'u	I can tell you more than that, if you like,' said the Gryphon. 'Do you know why it's called a whiting?'
ni'o «lu mi la'e di'u no roi pensi –sei la .alis. cu cusku– .i ma krinu li'u»	ni'o lu mi la'e di'u no roi pensi li'u se cusku la .alis. fa lu .i ma krinu li'u	I never thought about it,' said Alice. 'Why?'
ni'o «lu my kurji lo jufra .e lo selsku –sei la cpicinfo cu junri spuda– li'u»	ni'o lu my kurji lo jufra .e lo selsku –sei la cpicinfo cu junri spuda– li'u	IT DOES THE BOOTS AND SHOES.' the Gryphon replied very solemnly.
ni'o la .alis. cu mulno lo ka se cfipu .i «lu ua nai kurji lo jufra .e lo selsku –sei .abu preti tonga rapsku– li'u»	ni'o la .alis. cu mulno lo ka se cfipu .i lu .ua nai kurji lo jufra .e lo selsku –sei .abu preti tonga rapsku– li'u	Alice was thoroughly puzzled. 'Does the boots and shoes!' she repeated in a wondering tone.
ni'o «lu .a'a do ma pilno lo nu kurji lo do selsku –sei la cpicinfo cu cusku– .i va'i ma cipra lo ka gendra li'u»	ni'o lu .a'a do ma pilno lo nu kurji lo do selsku –sei la cpicinfo cu cusku– .i va'i ma cipra lo ka gendra li'u	Why, what are YOUR shoes done with?' said the Gryphon. 'I mean, what makes them so shiny?'
ni'o la .alis. ze'a pensi pu lo nu danfu .i «lu la jbofi'e cu go'i pe'i li'u»	ni'o la .alis. ze'a pensi pu lo nu danfu .i lu la jbofi'e cu go'i pe'i li'u	Alice looked down at them, and considered a little before she gave her answer. 'They're done with blacking, I believe.'
ni'o «lu ie la lobyfi'e va'i nai .i lo gendra ni'a lo xamsi –sei la cpicinfo cu di'a condi voksa cusku– cu se cipra lo labyfi'e .i ka'udai li'u»	ni'o lu .ie la lobyfi'e va'i nai .i lo gendra ni'a lo xamsi –sei la cpicinfo cu di'a condi voksa cusku– cu se cipra lo labyfi'e .i ka'udai li'u	Boots and shoes under the sea,' the Gryphon went on in a deep voice, 'are done with a whiting. Now you know.'
		And what are they made of?' Alice asked in a tone of great curiosity.
		Soles and eels, of course,' the Gryphon replied rather impatiently: 'any shrimp could have told you that.'
ni'o «lu mi va'o lo nu da'i mi merlanu cu cusku –sei la .alis. noi za'o pensi lo selsanga cu cusku– fi lo xajyfi'e fe «lu fi'i nai do'u .e'o darsta .i mi'a na djica lo nu do mi'a kansa li'u li'u»»	ni'o lu mi va'o lo nu da'i mi merlanu cu cusku –sei la .alis. noi za'o pensi lo selsanga cu cusku– fi lo xajyfi'e fe lu fi'i nai do'u .e'o darsta .i mi'a na djica lo nu do mi'a kansa li'u li'u	If I'd been the whiting,' said Alice, whose thoughts were still running on the song, 'I'd have said to the porpoise, "Keep back, please: we don't want YOU with us!"'
ni'o «lu bilga lo nu xy kansa –sei la jitfa cakyrespa cu cusku– .i no clite finpe cu rivbi lo xajyfi'e li'u»	ni'o lu bilga lo nu xy kansa –sei la jitfa cakyrespa cu cusku– .i no clite finpe cu rivbi lo xajyfi'e li'u	They were obliged to have him with them,' the Mock Turtle said: 'no wise fish would go anywhere without a porpoise.'
ni'o «lu ue je'u pei –sei la .alis. cu spaji mutce tonga cusku– li'u»	ni'o lu .ue je'u pei –sei la .alis. cu spaji mutce tonga cusku– li'u	Wouldn't it really?' said Alice in a tone of great surprise.
